feature,mi_score
Total day charge,0.04353857570136488
Customer service calls,0.04076160333154499
International plan,0.02772632961428645
Total intl charge,0.01411849073579341
State|PC2,0.010675694709727734
Number vmail messages,0.00833579311648558
State|PC0,0.006430378484147292
State|PC1,0.006282712878336261
Total intl calls,0.005254555490077584
Total eve calls,0.000819285532512648
Account length,0.0
Area code,0.0
Total day calls,0.0
Total eve charge,0.0
Total night calls,0.0
Total night charge,0.0
