feature,importance_mean,importance_std
Total day charge,0.3723444451809626,0.04920014996084082
Customer service calls,0.19488296422872634,0.015769596277008274
International plan,0.12503137269935563,0.016113642814036447
Number vmail messages,0.0886135520084747,0.01668915601873897
Total intl charge,0.05068916052144362,0.013610018928293326
Total intl calls,0.03832788414052256,0.015329639114372875
State|PC2,0.0041822554253985065,0.01114201543505031
State|PC1,0.0007811399576063138,0.004138355940425688
State|PC0,0.0,0.0
Total eve calls,-0.01702546074005794,0.00900080662715056
